nombre,desc,compra,alquiler,stock,imagen
Silla Phoenix Cristal,Silla transparente de alta resistencia,110000,7000,1000,Silla_Phoenix_Cristal.jpg
Silla Crossback Madera,Silla rustica para eventos campestres,95000,6000,800,Silla_Crossback_Madera.jpg
Mesa Espejo Lujo,Mesa rectangular con acabado en espejo,450000,50000,1000,Mesa_Espejo_Lujo.jpg
Sala Lounge Blanca,Set de 4 puffs y mesa de centro,600000,80000,500,Sala_Lounge_Blanca.jpg
Silla Rimax Blanca,Silla plastica estandar,25000,1500,3000,Silla_Rimax_Blanca.jpg
Silla Tiffany Dorada,Silla de lujo para bodas,85000,5000,1500,Silla_Tiffany_Dorada.jpg
Meson Tablon 1.80m,Mesa plegable reforzada,75000,10000,400,Meson_Tablon_1.80m.jpg
Mantel Jacquard Dorado,Tela labrada de alta gala,45000,12000,250,Mantel_Jacquard_Dorado.jpg
Camino de Mesa Encaje,Detalle vintage para mesas,15000,4000,500,Camino_de_Mesa_Encaje.jpg
Servilleta de Tela Lujo,Pack x12 algodon egipcio,40000,8000,500,Servilleta_de_Tela_Lujo.jpg
Faldon para Mesa Principal,Plisado blanco satinado,35000,10000,500,Faldon_para_Mesa_Principal.jpg
Copa Champana Flauta,Cristal templado pack x12,72000,12000,600,Copa_Champana_Flauta.jpg
Copa Martini Especial,Diseño clasico para coctel,8000,1500,800,Copa_Martini_Especial.jpg
Vaso Whisky Tallado,Cristal pesado de lujo,9000,2000,700,Vaso_Whisky_Tallado.jpg
Plato de Sitio Vidrio,Base con borde plateado,18000,3500,400,Plato_de_Sitio_Vidrio.jpg
Cubiertos Dorados Set,"Cuchara, tenedor y cuchillo de lujo",25000,5000,400,Cubiertos_Dorados_Set.jpg
Chafing Dish Acero,Samovar para comida caliente,180000,25000,300,Chafing_Dish_Acero.jpg
Jarra de Jugo Vidrio,Capacidad 2 litros,15000,3000,200,Jarra_de_Jugo_Vidrio.jpg
Bandeja de Mesero Antideslizante,Fibra de vidrio profesional,45000,5000,150,Bandeja_de_Mesero_Antideslizante.jpg
Hielera Acero Inoxidable,Capacidad 5 litros con pinza,35000,6000,100,Hielera_Acero_Inoxidable.jpg
Alfombra Roja 10m,Camino de honor para eventos,200000,50000,30,Alfombra_Roja_10m.jpg
Poste de Fila Dorado,Separador con cordon rojo,120000,15000,20,Poste_de_Fila_Dorado.jpg
Arco para Globos Metalico,Estructura desarmable redonda,150000,30000,50,Arco_para_Globos_Metalico.jpg
Sombrilla de Sol Gigante,Para eventos al aire libre,180000,35000,80,Sombrilla_de_Sol_Gigante.jpg
Carpa 4x4 Blanca,Impermeable reforzada,900000,120000,80,Carpa_4x4_Blanca.jpg
